scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Ilex verticillata,Common Winterberry,yes,yes,yes,yes,yes,yes,late spring,6'-10',6'-10',shrub,8,9,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ILVE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ILVE,"USDA, adjusted","https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ILVE, removed tree",https://plants.usda.gov/plant-profile/ILVE,https://en.wikipedia.org/wiki/Ilex_verticillata,https://www.wildflower.org/plants/result.php?id_plant=ILVE
Cephalanthus occidentalis,Common Buttonbush,yes,yes,no,no,yes,yes,late spring,6'-12',6'-12',shrub,9,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CEOC2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CEOC2,"USDA, adjusted","https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CEOC2, removed tree",https://plants.usda.gov/plant-profile/CEOC2,https://en.wikipedia.org/wiki/Cephalanthus_occidentalis,https://www.wildflower.org/plants/result.php?id_plant=CEOC2
Asclepias syriaca,Common Milkweed,no,no,yes,no,yes,no,late spring,3'-6',"24""-36""",flower-or-herb,9,7,8,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASSY,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASSY,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ASSY,https://plants.usda.gov/plant-profile/ASSY,https://en.wikipedia.org/wiki/Asclepias_syriaca,https://www.wildflower.org/plants/result.php?id_plant=ASSY
Lobelia cardinalis,Cardinalflower,yes,yes,yes,no,yes,yes,late summer,2'-4',"18""-24""",flower-or-herb,8,8,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=LOCA2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=LOCA2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=LOCA2,https://plants.usda.gov/plant-profile/LOCA2,https://en.wikipedia.org/wiki/Lobelia_cardinalis,https://www.wildflower.org/plants/result.php?id_plant=LOCA2
